well_id,reading_month,coverage_days,extraction_ml,data_quality_flag
1,2025-07-01,31,105.54,measured
2,2025-07-01,31,98.41,measured
3,2025-07-01,31,45.67,measured
4,2025-07-01,31,42.98,measured
5,2025-07-01,31,44.16,measured
6,2025-07-01,31,40.44,measured
1,2025-08-01,31,107.01,measured
2,2025-08-01,31,100.22,measured
3,2025-08-01,31,45.79,measured
4,2025-08-01,31,42.38,measured
5,2025-08-01,31,43.09,measured
6,2025-08-01,31,40.0,measured
1,2025-09-01,30,107.11,measured
2,2025-09-01,30,100.3,measured
3,2025-09-01,30,45.76,measured
4,2025-09-01,30,43.32,measured
5,2025-09-01,30,43.74,measured
6,2025-09-01,30,41.0,measured
1,2025-10-01,31,107.53,measured
2,2025-10-01,31,100.84,measured
3,2025-10-01,31,45.9,measured
4,2025-10-01,31,42.27,measured
5,2025-10-01,31,44.66,measured
6,2025-10-01,31,40.1,measured
1,2025-11-01,30,106.76,measured
2,2025-11-01,30,98.83,measured
3,2025-11-01,30,46.2,measured
4,2025-11-01,30,42.77,measured
5,2025-11-01,30,44.53,measured
6,2025-11-01,30,39.88,measured
1,2025-12-01,31,108.19,measured
2,2025-12-01,31,100.37,measured
3,2025-12-01,31,46.51,measured
4,2025-12-01,31,42.85,measured
5,2025-12-01,31,43.55,measured
6,2025-12-01,31,40.13,measured
1,2026-01-01,31,106.7,measured
2,2026-01-01,31,98.98,measured
3,2026-01-01,31,45.55,measured
4,2026-01-01,31,42.81,measured
5,2026-01-01,31,43.16,measured
6,2026-01-01,31,40.2,measured
1,2026-02-01,28,105.89,measured
2,2026-02-01,28,100.8,measured
3,2026-02-01,28,46.03,measured
4,2026-02-01,28,42.59,measured
5,2026-02-01,28,43.96,measured
6,2026-02-01,28,40.85,measured
1,2026-03-01,31,108.13,measured
2,2026-03-01,31,98.15,measured
3,2026-03-01,31,45.42,measured
4,2026-03-01,31,42.09,measured
5,2026-03-01,31,43.93,measured
6,2026-03-01,31,40.86,measured
1,2026-04-01,30,105.02,measured
2,2026-04-01,30,98.43,measured
3,2026-04-01,30,46.09,measured
4,2026-04-01,30,43.0,measured
5,2026-04-01,30,44.57,measured
6,2026-04-01,30,40.34,measured
1,2026-05-01,31,105.91,measured
2,2026-05-01,31,98.62,measured
3,2026-05-01,31,46.0,measured
4,2026-05-01,31,42.47,measured
5,2026-05-01,31,44.17,measured
6,2026-05-01,31,40.03,measured
1,2026-06-01,7,24.5,measured
2,2026-06-01,7,22.63,measured
3,2026-06-01,7,10.59,measured
4,2026-06-01,7,9.98,measured
5,2026-06-01,7,10.17,measured
6,2026-06-01,7,9.6,measured
